Model_Name,FRECUENCIA,LIMITE_IZQ,LIMITE_DER,PROFUNDIDAD,BALANCED,TEST_AT_SUFFLE,IDX_TEST_START,VAL_PCT,TEST_PCT,ACC_TEST,ACC_VAL,Duration,Exposure,Buy & Hold Return [%],_strategy,Pred_Equity_Final_$,Pred_Equity_Peak_$,Pred_Return_%,Pred_#_Trades,Pred_Win_Rate,Commission,Cash
XGBoost_4,4H,-0.0029,0.0029,6,True,True,12835,0.25,0.2,0.7095130237825594,0.8472117273688983,5297.0,99.77345667358885,18.265582251776074,limits_Pred,975.517441389856,1032.3355172364923,-2.4482558610143994,439.0,43.735763097949885,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,12253,0.25,0.2,0.7533031332578332,0.8794015414840562,5297.0,98.3953181045875,12.778260625771,limits_Pred,919.4223481774015,1070.5776949254937,-8.057765182259834,367.0,43.324250681198905,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,13033,0.25,0.2,0.7599093997734995,0.8721474988665558,5297.0,98.75401170473852,11.972541110766368,limits_Pred,1153.6387405871492,1251.1870881133095,15.363874058714918,335.0,49.85074626865672,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,9690,0.25,0.2,0.6947904869762175,0.8071633670847816,5297.0,99.60354917878044,9.344103752252526,limits_Pred,810.2005984518368,1213.8740050749464,-18.979940154816337,397.0,52.896725440806044,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,7046,0.25,0.2,0.6836542091355229,0.8529545111077528,5297.0,99.77345667358885,7.431028119678597,limits_Pred,1161.3448143097141,1315.5280478947875,16.134481430971416,202.0,52.97029702970298,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,10197,0.25,0.2,0.7231030577576444,0.8423756989572314,5297.0,98.73513309420427,0.70756301266597,limits_Pred,1066.0787057918626,1090.2206584945282,6.607870579186264,302.0,50.66225165562914,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,2319,0.25,0.2,0.8204983012457531,0.8076167447483754,5297.0,99.67906362091749,15.48962726408425,limits_Pred,1051.3048122430587,1093.063476747069,5.130481224305868,119.0,46.21848739495798,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,5284,0.25,0.2,0.7440543601359003,0.8337615233489497,5297.0,95.58240513498207,3.279461279461282,limits_Pred,786.3636206624926,1029.340371952253,-21.363637933750727,109.0,51.37614678899083,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,10054,0.25,0.2,0.7106455266138165,0.869880610548587,5297.0,99.77345667358885,3.829529417849451,limits_Pred,871.5355102302514,1059.4768652333396,-12.846448976974877,363.0,48.7603305785124,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,6074,0.25,0.2,0.715364288410721,0.8837841922321293,5297.0,99.09382669435527,7.70273531206971,limits_Pred,1032.4131760759876,1156.4873176321996,3.241317607598785,97.0,47.42268041237113,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,3574,0.25,0.2,0.7969044922612306,0.8437358319480127,5297.0,98.3953181045875,15.116259962205223,limits_Pred,1397.9521344305658,1502.2429780586692,39.79521344305658,50.0,57.99999999999999,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,9030,0.25,0.2,0.6934692336730842,0.8644400785854617,5297.0,99.15046252595808,10.750383491983447,limits_Pred,808.8770031207132,1122.1947975407172,-19.112299687928648,378.0,47.883597883597886,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,10564,0.25,0.2,0.7193280483201208,0.8272631101707723,5297.0,93.09042854445913,8.330122887985597,limits_Pred,1000.4241576042143,1117.0108552175798,0.042415760421442884,401.0,47.63092269326683,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,13882,0.25,0.2,0.8223858059645149,0.8248450959649388,5297.0,97.6590522937512,12.67402901567888,limits_Pred,1046.4540390423463,1076.3908708307868,4.645403904234627,136.0,50.735294117647065,0.0001,1000
XGBoost_4,4H,-0.0029,0.0029,6,True,True,86,0.25,0.2,0.8084182710456776,0.8738098836330663,5297.0,96.45082121955824,8.396782756592648,limits_Pred,1285.7249798711146,1319.7724308871166,28.57249798711144,157.0,50.31847133757961,0.0001,1000
