Gmt time,Open,High,Low,Close,Volume
14.10.2016 00:00:00.000,1.10484,1.10567,1.09708,1.09729,1038135.9375
16.10.2016 00:00:00.000,1.09697,1.09734,1.09654,1.09659,36328.5898
17.10.2016 00:00:00.000,1.09659,1.10146,1.09640,1.10112,1001146.0625
18.10.2016 00:00:00.000,1.10112,1.10266,1.09703,1.09749,988011.3125
19.10.2016 00:00:00.000,1.09748,1.10049,1.09551,1.09748,983109.25
20.10.2016 00:00:00.000,1.09748,1.10395,1.09160,1.09295,936247.5
21.10.2016 00:00:00.000,1.09296,1.09298,1.08596,1.08890,949202.1875
23.10.2016 00:00:00.000,1.08818,1.08849,1.08752,1.08804,33533.2383
24.10.2016 00:00:00.000,1.08804,1.08998,1.08598,1.08732,472028.125
25.10.2016 00:00:00.000,1.08733,1.09052,1.08512,1.08865,185106.2344
26.10.2016 00:00:00.000,1.08864,1.09465,1.08746,1.09100,194893.1406
27.10.2016 00:00:00.000,1.09096,1.09423,1.08827,1.08976,182654.9219
28.10.2016 00:00:00.000,1.08973,1.09919,1.08955,1.09892,179728.2031
30.10.2016 00:00:00.000,1.09939,1.09939,1.09758,1.09825,11051.6699
31.10.2016 00:00:00.000,1.09825,1.09828,1.09361,1.09710,184535.3125
01.11.2016 00:00:00.000,1.09710,1.10692,1.09602,1.10556,213579.0938
02.11.2016 00:00:00.000,1.10556,1.11232,1.10500,1.10943,251059.125
03.11.2016 00:00:00.000,1.10943,1.11261,1.10599,1.10998,247702.2656
04.11.2016 00:00:00.000,1.10995,1.11429,1.10801,1.11426,215217.3438
06.11.2016 00:00:00.000,1.10638,1.11001,1.10638,1.10950,11403.1299
07.11.2016 00:00:00.000,1.10950,1.11106,1.10275,1.10494,237917.9531
08.11.2016 00:00:00.000,1.10494,1.10671,1.10051,1.10182,222296.625
09.11.2016 00:00:00.000,1.10182,1.12998,1.09073,1.09198,446736.125
10.11.2016 00:00:00.000,1.09198,1.09540,1.08650,1.08879,342669.6563
11.11.2016 00:00:00.000,1.08877,1.09236,1.08306,1.08602,285016.5
13.11.2016 00:00:00.000,1.08342,1.08407,1.08195,1.08232,11161.6602
14.11.2016 00:00:00.000,1.08230,1.08261,1.07092,1.07459,374336.8125
