Local time,Open,High,Low,Close,Volume
14.05.2018 19:00:00.000 GMT-0500,1.19313,1.19386,1.18174,1.18208,254368.7969
15.05.2018 19:00:00.000 GMT-0500,1.18208,1.18543,1.17638,1.18151,287158.0625
16.05.2018 19:00:00.000 GMT-0500,1.18150,1.18378,1.17766,1.17905,259183.2031
17.05.2018 19:00:00.000 GMT-0500,1.17906,1.18223,1.17500,1.17747,231641.4063
19.05.2018 19:00:00.000 GMT-0500,1.17766,1.17766,1.17608,1.17657,8830.9297
20.05.2018 19:00:00.000 GMT-0500,1.17655,1.17976,1.17167,1.17903,232704.9531
21.05.2018 19:00:00.000 GMT-0500,1.17902,1.18299,1.17568,1.17885,264928.125
22.05.2018 19:00:00.000 GMT-0500,1.17885,1.17895,1.16760,1.17096,316699.9688
23.05.2018 19:00:00.000 GMT-0500,1.17094,1.17505,1.16911,1.17224,280355.5
24.05.2018 19:00:00.000 GMT-0500,1.17224,1.17337,1.16463,1.16516,259443.2656
26.05.2018 19:00:00.000 GMT-0500,1.16878,1.16925,1.16771,1.16887,13846.8096
27.05.2018 19:00:00.000 GMT-0500,1.16888,1.17287,1.16077,1.16266,219516.5469
28.05.2018 19:00:00.000 GMT-0500,1.16268,1.16397,1.15102,1.15379,336041.875
29.05.2018 19:00:00.000 GMT-0500,1.15379,1.16760,1.15188,1.16649,318511.1563
30.05.2018 19:00:00.000 GMT-0500,1.16649,1.17244,1.16414,1.16925,292354.3125
31.05.2018 19:00:00.000 GMT-0500,1.16926,1.17182,1.16172,1.16602,265120.3125
02.06.2018 19:00:00.000 GMT-0500,1.16644,1.16699,1.16605,1.16678,6549.0698
03.06.2018 19:00:00.000 GMT-0500,1.16675,1.17447,1.16673,1.17005,240440.8438
04.06.2018 19:00:00.000 GMT-0500,1.17005,1.17327,1.16528,1.17264,260201.125
05.06.2018 19:00:00.000 GMT-0500,1.17264,1.17960,1.17141,1.17816,260680.4531
06.06.2018 19:00:00.000 GMT-0500,1.17813,1.18401,1.17813,1.17934,250919.4531
07.06.2018 19:00:00.000 GMT-0500,1.17933,1.18105,1.17274,1.17708,227996.2031
09.06.2018 19:00:00.000 GMT-0500,1.17761,1.17860,1.17715,1.17849,7543.5
10.06.2018 19:00:00.000 GMT-0500,1.17848,1.18207,1.17716,1.17728,208384.5938
11.06.2018 19:00:00.000 GMT-0500,1.17729,1.18093,1.17338,1.17480,239822.7031
12.06.2018 19:00:00.000 GMT-0500,1.17480,1.18050,1.17258,1.18035,239731.0938
13.06.2018 19:00:00.000 GMT-0500,1.18036,1.18521,1.15611,1.15634,292842.375
14.06.2018 19:00:00.000 GMT-0500,1.15631,1.16272,1.15436,1.16103,248240.2031
16.06.2018 19:00:00.000 GMT-0500,1.15906,1.16030,1.15884,1.15933,9089.8203
17.06.2018 19:00:00.000 GMT-0500,1.15933,1.16415,1.15657,1.16301,219386.4063
18.06.2018 19:00:00.000 GMT-0500,1.16300,1.16448,1.15309,1.15883,279841.875
19.06.2018 19:00:00.000 GMT-0500,1.15883,1.16000,1.15371,1.15779,247282.4375
20.06.2018 19:00:00.000 GMT-0500,1.15778,1.16338,1.15085,1.16045,288911.7188
21.06.2018 19:00:00.000 GMT-0500,1.16045,1.16750,1.16009,1.16590,250697.375
23.06.2018 19:00:00.000 GMT-0500,1.16648,1.16730,1.16604,1.16604,14128.3203
24.06.2018 19:00:00.000 GMT-0500,1.16607,1.17133,1.16290,1.17013,255819.4375
25.06.2018 19:00:00.000 GMT-0500,1.17012,1.17205,1.16351,1.16498,283394.0938
26.06.2018 19:00:00.000 GMT-0500,1.16498,1.16722,1.15410,1.15632,304107.875
27.06.2018 19:00:00.000 GMT-0500,1.15632,1.16006,1.15275,1.15638,290169.5938
28.06.2018 19:00:00.000 GMT-0500,1.15637,1.16906,1.15636,1.16858,289929
30.06.2018 19:00:00.000 GMT-0500,1.16804,1.16938,1.16639,1.16790,16735.9199
01.07.2018 19:00:00.000 GMT-0500,1.16782,1.16792,1.15915,1.16419,241338.3594
02.07.2018 19:00:00.000 GMT-0500,1.16415,1.16732,1.16208,1.16593,257145.375
03.07.2018 19:00:00.000 GMT-0500,1.16591,1.16820,1.16308,1.16607,191175.875
04.07.2018 19:00:00.000 GMT-0500,1.16607,1.17203,1.16501,1.16921,263604.0625
05.07.2018 19:00:00.000 GMT-0500,1.16921,1.17679,1.16803,1.17464,232141.7188
07.07.2018 19:00:00.000 GMT-0500,1.17432,1.17548,1.17432,1.17521,12232.8203
08.07.2018 19:00:00.000 GMT-0500,1.17516,1.17908,1.17330,1.17564,240438.3594
09.07.2018 19:00:00.000 GMT-0500,1.17562,1.17628,1.16906,1.17283,241527.5781
10.07.2018 19:00:00.000 GMT-0500,1.17283,1.17583,1.16657,1.16754,279801.4063
11.07.2018 19:00:00.000 GMT-0500,1.16754,1.16957,1.16500,1.16644,241600.7344
12.07.2018 19:00:00.000 GMT-0500,1.16644,1.16885,1.16133,1.16885,232020.8125
14.07.2018 19:00:00.000 GMT-0500,1.16912,1.16943,1.16774,1.16787,8668.9004
