Local time,Open,High,Low,Close,Volume
28.01.2018 18:00:00.000 GMT-0600,1.24314,1.24326,1.23855,1.24150,40390.109300000004
28.01.2018 22:00:00.000 GMT-0600,1.24157,1.24291,1.23944,1.24022,42692.0898
29.01.2018 02:00:00.000 GMT-0600,1.24022,1.24281,1.23888,1.23933,61271.878899999996
29.01.2018 06:00:00.000 GMT-0600,1.23930,1.24042,1.23455,1.23567,66912.749
29.01.2018 10:00:00.000 GMT-0600,1.23566,1.23902,1.23369,1.23889,59439.829000000005
29.01.2018 14:00:00.000 GMT-0600,1.23887,1.23899,1.23783,1.23811,21793.9905
29.01.2018 18:00:00.000 GMT-0600,1.23811,1.23885,1.23608,1.23788,38375.4296
29.01.2018 22:00:00.000 GMT-0600,1.23788,1.23868,1.23470,1.23564,45882.5606
30.01.2018 02:00:00.000 GMT-0600,1.23562,1.24413,1.23352,1.24399,69151.55949999999
30.01.2018 06:00:00.000 GMT-0600,1.24393,1.24541,1.24033,1.24104,70355.5996
30.01.2018 10:00:00.000 GMT-0600,1.24107,1.24208,1.23842,1.24053,64564.760700000006
30.01.2018 14:00:00.000 GMT-0600,1.24054,1.24137,1.23940,1.24088,20210.8298
30.01.2018 18:00:00.000 GMT-0600,1.24086,1.24338,1.23994,1.24241,44157.751
30.01.2018 22:00:00.000 GMT-0600,1.24243,1.24628,1.24155,1.24446,47711.1104
31.01.2018 02:00:00.000 GMT-0600,1.24445,1.24600,1.24255,1.24548,58840.480599999995
31.01.2018 06:00:00.000 GMT-0600,1.24548,1.24750,1.24454,1.24567,64485.5107
31.01.2018 10:00:00.000 GMT-0600,1.24568,1.24635,1.23874,1.24115,70819.9805
31.01.2018 14:00:00.000 GMT-0600,1.24117,1.24238,1.24023,1.24172,31367.629899999996
31.01.2018 18:00:00.000 GMT-0600,1.24173,1.24288,1.24057,1.24251,26426.890699999996
31.01.2018 22:00:00.000 GMT-0600,1.24251,1.24283,1.23856,1.24030,41919.160299999996
01.02.2018 02:00:00.000 GMT-0600,1.24026,1.24511,1.24020,1.24381,62179.548800000004
01.02.2018 06:00:00.000 GMT-0600,1.24379,1.24745,1.24317,1.24696,72970.2001
01.02.2018 10:00:00.000 GMT-0600,1.24694,1.25067,1.24624,1.25029,75650.81049999999
01.02.2018 14:00:00.000 GMT-0600,1.25026,1.25233,1.25016,1.25109,32392.8805
01.02.2018 18:00:00.000 GMT-0600,1.25110,1.25152,1.24891,1.25003,36059.100099999996
01.02.2018 22:00:00.000 GMT-0600,1.25003,1.25143,1.24869,1.25100,32542.8208
02.02.2018 02:00:00.000 GMT-0600,1.25099,1.25183,1.24759,1.24907,58494.141599999995
02.02.2018 06:00:00.000 GMT-0600,1.24905,1.24979,1.24094,1.24357,79505.1592
02.02.2018 10:00:00.000 GMT-0600,1.24358,1.24910,1.24358,1.24514,72082.97069999999
02.02.2018 14:00:00.000 GMT-0600,1.24515,1.24648,1.24495,1.24608,19390.5704
04.02.2018 14:00:00.000 GMT-0600,1.24391,1.24551,1.24247,1.24467,12176.02
04.02.2018 18:00:00.000 GMT-0600,1.24464,1.24668,1.24404,1.24549,33708.4004
04.02.2018 22:00:00.000 GMT-0600,1.24550,1.24643,1.24395,1.24400,35150.2597
05.02.2018 02:00:00.000 GMT-0600,1.24400,1.24751,1.24395,1.24479,57759.0801
05.02.2018 06:00:00.000 GMT-0600,1.24479,1.24504,1.23991,1.24203,72081.3603
05.02.2018 10:00:00.000 GMT-0600,1.24202,1.24300,1.23943,1.23988,62540.9805
05.02.2018 14:00:00.000 GMT-0600,1.23990,1.24221,1.23630,1.23672,58648.9807
05.02.2018 18:00:00.000 GMT-0600,1.23674,1.23886,1.23552,1.23674,67030.5312
05.02.2018 22:00:00.000 GMT-0600,1.23674,1.24046,1.23511,1.23963,60914.7197
06.02.2018 02:00:00.000 GMT-0600,1.23964,1.24348,1.23711,1.23728,70583.2792
